id,url,cover_url,pdf_url,cover_path,pdf_path,title,tags,author,year,publisher,city,printing_house,pages,language,description
2524,https://tula-online.org/items/show/2524,https://tula-online.org/files/fullsize/70dad8b7f33777b572ba9c489056e980.jpg,https://tula-online.org/files/original/9d52255651de790e78bc2e5ff259fe68.pdf,cover/2524.jpg,pdf/2524.pdf,Ой верше мій верше… : Спомини · TULA,Memoirs,гаргай степан,2011,N/A,Toronto,millenium printing concord on,64,Українська,na
2525,https://tula-online.org/items/show/2525,https://tula-online.org/files/fullsize/ed2e2ae77dba162ec019f98f62bb7f0a.jpg,https://tula-online.org/files/original/da4c0bb3c03dc7cd07ac8c15bc9ea1fe.pdf,cover/2525.jpg,pdf/2525.pdf,Ріка : Драма на 3 дії · TULA,Drama|Collection Романа Ґеник-Березовського,гальбе макс,1942,українське видавництво,Lviv,друк. поспішна краків,72,Українська,Переклав із німецького Іван Іваницький
2526,https://tula-online.org/items/show/2526,https://tula-online.org/files/fullsize/570667fc0f2c598786bf10f55ca420bd.jpg,https://tula-online.org/files/original/6a098d5cae06ca508d2e7043f123869e.pdf,cover/2526.jpg,pdf/2526.pdf,Українські Хлопомани · TULA,History|Politology|Collection Романа Ґеник-Березовського,мицюк о.,1933,накладом автора,Chernivtsi,друк. меркур чернівці,80,Українська,Серія: Бібліотека Самостійної думки в Чернівцях ч. 2.
2527,https://tula-online.org/items/show/2527,https://tula-online.org/files/fullsize/6ee99d62d4ed6b78134175cac2ef2658.jpg,https://tula-online.org/files/original/8fc52a80a80d63395fc8b2a0119d4862.pdf,cover/2527.jpg,pdf/2527.pdf,Серед Степів : Оповіданя · TULA,Prose|Collection Романа Ґеник-Березовського,мирний панас,1903,українсько-руська видавнича спілка зареєстрована спілка з обмеженою порукою у львові,Lviv,na,224,Українська,na
2528,https://tula-online.org/items/show/2528,https://tula-online.org/files/fullsize/e676afc2220395bc1e2d05b7c3915493.jpg,https://tula-online.org/files/original/e09950f690f13523c1f959206a69656b.pdf,cover/2528.jpg,pdf/2528.pdf,Карпенко Карий (Тобілевич Ів. К. ) · TULA,Literary Studies|Collection Романа Ґеник-Березовського,єфремов сергій,-1,українська накладня,Kyiv,na,115,Українська,Серія: Літературні Характеристики Українських письменників. VII.
2529,https://tula-online.org/items/show/2529,https://tula-online.org/files/fullsize/d825581289b50a3f9ea7ca4e03444657.jpg,https://tula-online.org/files/original/4182cc40b047ad98fc584b32e026b9be.pdf,cover/2529.jpg,pdf/2529.pdf,Народная Украинская Литература : Сборникъ отзывовъ на народныя украинскія изданія. · TULA,Literary Studies,дорошенко дмитро,1904,с.-петербургское благотворительное общество изданія общеполезныхъ и дешевыхъ книгъ,Saint Petersburg,типографія училища глухонѣмыхъ с.-петербургъ,70,Російська,na
253,https://tula-online.org/items/show/253,https://diasporiana.org.ua/wp-content/uploads/books/10668/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/10668/file.pdf,cover/253.jpg,pdf/253.pdf,Координати : Антологія сучасної української поезії на заході. Том І. · TULA,Poetry,бойчук богдан т.,1969,видавництво сучасність,Munich,logos münchen w. germany,372,Українська,na
2530,https://tula-online.org/items/show/2530,https://tula-online.org/files/fullsize/9e23e580789440e15027e2fe997eaab3.jpg,https://tula-online.org/files/original/3363990668d871f5a677940bfafc2a94.pdf,cover/2530.jpg,pdf/2530.pdf,Чотири Шаблі : Роман · TULA,Collection Романа Ґеник-Березовського,яновський юрій,1941,видавництво колос,Prague,druckerei des protektorates böhmen und mähren in prag,224,Українська,na
2531,https://tula-online.org/items/show/2531,https://tula-online.org/files/fullsize/137320c612c10bfa9f75bb6c8f217a93.jpg,https://tula-online.org/files/original/137320c612c10bfa9f75bb6c8f217a93.pdf,cover/2531.jpg,pdf/2531.pdf,Битва : Нарис · TULA,Prose,кобилянська ольга,-1,українська накладня,Kyiv,друкарня к. ґ. редера тов. з обм. порукою в ляйпціґу,52,Українська,Із переднім словом про літературну діяльність О. Кобилянської
2532,https://tula-online.org/items/show/2532,https://tula-online.org/files/fullsize/f73bbc3e04395cc18e02119857e70a07.jpg,https://tula-online.org/files/original/f73bbc3e04395cc18e02119857e70a07.pdf,cover/2532.jpg,pdf/2532.pdf,Для загального добра : Оповідання · TULA,Prose,коцюбинський михайло,-1,українська накладня,Kyiv,б/м,68,Українська,Серія: Загальна Біблїотека № 194
